uci_protocol_hash,split_hash,seed,model,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10
0466d4a7742ee7956bc093d3bc1c23e3cea96216b360f9bdce5799e7cc6df925,4fa09d0e253f11464e7e063277ee271dc4170012e7915639c1a2d476cbed8f61,21,Standard TabPFN v2,885,284,601,555,46,68,216,0.5,0.8711864406779661,0.8244274809160306,0.7605633802816901,0.9234608985024958,0.842012139392093,0.8908507223113965,262,0.296045197740113,1.212962962962963,0.7912087912087912,0.7725321888412017,0.9293138196901878,0.8914966315508754,0.09206845356706965,0.033259002281494934
0466d4a7742ee7956bc093d3bc1c23e3cea96216b360f9bdce5799e7cc6df925,4fa09d0e253f11464e7e063277ee271dc4170012e7915639c1a2d476cbed8f61,21,B-TabPFN K=1,885,284,601,509,92,44,240,0.5,0.8463276836158192,0.7228915662650602,0.8450704225352113,0.8469217970049917,0.8459961097701014,0.9204339963833634,332,0.3751412429378531,1.3833333333333333,0.7792207792207793,0.8174386920980926,0.9259245154788968,0.8845165528045387,0.10868637554418632,0.0878530314936708
0466d4a7742ee7956bc093d3bc1c23e3cea96216b360f9bdce5799e7cc6df925,e8b3d622f534e55046e978d387f63d996557723ef97568dd39235d5b88fadcfc,42,Logistic Regression,885,284,601,537,64,48,236,0.5,0.8734463276836159,0.7866666666666666,0.8309859154929577,0.8935108153078203,0.862248365400389,0.9179487179487179,300,0.3389830508474576,1.271186440677966,0.8082191780821918,0.8217270194986073,0.9271753650019919,0.8947843646145741,0.09660024974222292,0.07626049320405062
0466d4a7742ee7956bc093d3bc1c23e3cea96216b360f9bdce5799e7cc6df925,e8b3d622f534e55046e978d387f63d996557723ef97568dd39235d5b88fadcfc,42,XGBoost,885,284,601,554,47,52,232,0.5,0.888135593220339,0.8315412186379928,0.8169014084507042,0.9217970049916805,0.8693492067211923,0.9141914191419142,279,0.3152542372881356,1.2025862068965518,0.8241563055062167,0.8197879858657244,0.9359693937334489,0.9072255041649157,0.08650243099506616,0.03280539117848217
0466d4a7742ee7956bc093d3bc1c23e3cea96216b360f9bdce5799e7cc6df925,e8b3d622f534e55046e978d387f63d996557723ef97568dd39235d5b88fadcfc,42,Standard TabPFN v2,885,284,601,571,30,69,215,0.5,0.888135593220339,0.8775510204081632,0.7570422535211268,0.9500831946755408,0.8535627240983338,0.8921875,245,0.2768361581920904,1.1395348837209303,0.8128544423440454,0.778421433743664,0.9358170654542898,0.9123716956104618,0.08137608547011525,0.0211394932184179
0466d4a7742ee7956bc093d3bc1c23e3cea96216b360f9bdce5799e7cc6df925,e8b3d622f534e55046e978d387f63d996557723ef97568dd39235d5b88fadcfc,42,B-TabPFN K=1,885,284,601,540,61,48,236,0.5,0.8768361581920904,0.7946127946127947,0.8309859154929577,0.8985024958402662,0.8647442056666119,0.9183673469387755,297,0.33559322033898303,1.2584745762711864,0.8123924268502581,0.823447313328681,0.9342879238827306,0.908940825538568,0.09131992346977615,0.0692612100776685
0466d4a7742ee7956bc093d3bc1c23e3cea96216b360f9bdce5799e7cc6df925,36ec710a0c5a334a7393ce6a5a3f50ec81c3a88307379d17cfc7c40b5dd44f8d,99,Logistic Regression,885,284,601,529,72,56,228,0.5,0.8553672316384181,0.76,0.8028169014084507,0.8801996672212978,0.8415082843148742,0.9042735042735043,300,0.3389830508474576,1.3157894736842106,0.7808219178082192,0.7938718662952646,0.9150535492489045,0.871234751510583,0.1088845486583248,0.08027063737422387
0466d4a7742ee7956bc093d3bc1c23e3cea96216b360f9bdce5799e7cc6df925,36ec710a0c5a334a7393ce6a5a3f50ec81c3a88307379d17cfc7c40b5dd44f8d,99,XGBoost,885,284,601,547,54,62,222,0.5,0.8689265536723164,0.8043478260869565,0.7816901408450704,0.9101497504159733,0.8459199456305219,0.8981937602627258,276,0.31186440677966104,1.2432432432432432,0.7928571428571428,0.7861189801699717,0.9182231492114084,0.8821437040787221,0.09709230808746389,0.04462483100919317
0466d4a7742ee7956bc093d3bc1c23e3cea96216b360f9bdce5799e7cc6df925,36ec710a0c5a334a7393ce6a5a3f50ec81c3a88307379d17cfc7c40b5dd44f8d,99,Standard TabPFN v2,885,284,601,566,35,69,215,0.5,0.8824858757062147,0.86,0.7570422535211268,0.9417637271214643,0.8494029903212955,0.8913385826771654,250,0.2824858757062147,1.1627906976744187,0.8052434456928839,0.7756132756132756,0.9221778256895785,0.889131844464804,0.0918497810094388,0.03551203192443203
0466d4a7742ee7956bc093d3bc1c23e3cea96216b360f9bdce5799e7cc6df925,36ec710a0c5a334a7393ce6a5a3f50ec81c3a88307379d17cfc7c40b5dd44f8d,99,B-TabPFN K=1,885,284,601,528,73,51,233,0.5,0.8598870056497175,0.761437908496732,0.8204225352112676,0.8785357737104825,0.8494791544608751,0.9119170984455959,306,0.34576271186440677,1.3133047210300428,0.7898305084745763,0.8079056865464632,0.9209386937264183,0.8866365214619191,0.10302854351680292,0.07062139950671606
