analysis,design,fold,seed,K,requested_minority_prevalence,realized_minority_prevalence,context_n,context_minority_n,context_majority_n,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10,prevalence_condition
operational_prevalence_sweep,all_minority_0.4,3,1,1,0.4,0.4,285,114,171,34,13,21,16,5,8,5,0.5,0.6176470588235294,0.5,0.38461538461538464,0.7619047619047619,0.5732600732600732,0.6666666666666666,10,0.29411764705882354,2.0,0.43478260869565216,0.4032258064516129,0.5824175824175825,0.469284264992767,0.2546926234691924,0.19708299330052206,0.4
operational_prevalence_sweep,all_minority_0.4,3,7,1,0.4,0.4,285,114,171,34,13,21,14,7,8,5,0.5,0.5588235294117647,0.4166666666666667,0.38461538461538464,0.6666666666666666,0.5256410256410257,0.6363636363636364,12,0.35294117647058826,2.4,0.4,0.390625,0.5787545787545788,0.46196161264723135,0.25294398559953235,0.1988340033327832,0.4
operational_prevalence_sweep,all_minority_0.4,3,21,1,0.4,0.4,285,114,171,34,13,21,15,6,8,5,0.5,0.5882352941176471,0.45454545454545453,0.38461538461538464,0.7142857142857143,0.5494505494505495,0.6521739130434783,11,0.3235294117647059,2.2,0.4166666666666667,0.3968253968253968,0.5787545787545788,0.45895143168422514,0.2505593815163421,0.18055310757721174,0.4
operational_prevalence_sweep,all_minority_0.4,3,42,1,0.4,0.4,285,114,171,34,13,21,13,8,8,5,0.5,0.5294117647058824,0.38461538461538464,0.38461538461538464,0.6190476190476191,0.5018315018315018,0.6190476190476191,13,0.38235294117647056,2.6,0.38461538461538464,0.38461538461538464,0.575091575091575,0.45497748566310436,0.25503577244630526,0.24083712740856061,0.4
operational_prevalence_sweep,all_minority_0.4,3,99,1,0.4,0.4,285,114,171,34,13,21,12,9,8,5,0.5,0.5,0.35714285714285715,0.38461538461538464,0.5714285714285714,0.478021978021978,0.6,14,0.4117647058823529,2.8,0.37037037037037035,0.3787878787878788,0.5787545787545788,0.4621590802360033,0.2574577063637008,0.2457190480302362,0.4
operational_prevalence_sweep,all_minority_0.4,4,1,1,0.4,0.4,285,114,171,34,13,21,17,4,9,4,0.5,0.6176470588235294,0.5,0.3076923076923077,0.8095238095238095,0.5586080586080586,0.6538461538461539,8,0.23529411764705882,2.0,0.38095238095238093,0.3333333333333333,0.6666666666666667,0.5142917625889762,0.23656398225933487,0.14326373750672622,0.4
operational_prevalence_sweep,all_minority_0.4,4,7,1,0.4,0.4,285,114,171,34,13,21,17,4,10,3,0.5,0.5882352941176471,0.42857142857142855,0.23076923076923078,0.8095238095238095,0.5201465201465202,0.6296296296296297,7,0.20588235294117646,2.3333333333333335,0.3,0.2542372881355932,0.6630036630036631,0.5086522347795736,0.23663877979607034,0.15113223387914546,0.4
operational_prevalence_sweep,all_minority_0.4,4,21,1,0.4,0.4,285,114,171,34,13,21,17,4,8,5,0.5,0.6470588235294118,0.5555555555555556,0.38461538461538464,0.8095238095238095,0.5970695970695971,0.68,9,0.2647058823529412,1.8,0.45454545454545453,0.4098360655737705,0.6556776556776557,0.5064053535696004,0.2378260253140329,0.16496546829448025,0.4
operational_prevalence_sweep,all_minority_0.4,4,42,1,0.4,0.4,285,114,171,34,13,21,17,4,9,4,0.5,0.6176470588235294,0.5,0.3076923076923077,0.8095238095238095,0.5586080586080586,0.6538461538461539,8,0.23529411764705882,2.0,0.38095238095238093,0.3333333333333333,0.6556776556776557,0.4954366405548516,0.24429745538991135,0.192513153395232,0.4
operational_prevalence_sweep,all_minority_0.4,4,99,1,0.4,0.4,285,114,171,34,13,21,17,4,9,4,0.5,0.6176470588235294,0.5,0.3076923076923077,0.8095238095238095,0.5586080586080586,0.6538461538461539,8,0.23529411764705882,2.0,0.38095238095238093,0.3333333333333333,0.6556776556776557,0.4954654215927604,0.24635361685573234,0.20413882022394855,0.4
operational_prevalence_sweep,all_minority_0.4,5,1,1,0.4,0.4,285,114,171,34,13,21,18,3,7,6,0.5,0.7058823529411765,0.6666666666666666,0.46153846153846156,0.8571428571428571,0.6593406593406593,0.72,9,0.2647058823529412,1.5,0.5454545454545454,0.4918032786885246,0.750915750915751,0.6718066655566655,0.1961897396184306,0.12952491882092815,0.4
operational_prevalence_sweep,all_minority_0.4,5,7,1,0.4,0.4,285,114,171,34,13,21,18,3,7,6,0.5,0.7058823529411765,0.6666666666666666,0.46153846153846156,0.8571428571428571,0.6593406593406593,0.72,9,0.2647058823529412,1.5,0.5454545454545454,0.4918032786885246,0.7545787545787546,0.6756105539759385,0.1947390089622802,0.16740068661815982,0.4
operational_prevalence_sweep,all_minority_0.4,5,21,1,0.4,0.4,285,114,171,34,13,21,18,3,7,6,0.5,0.7058823529411765,0.6666666666666666,0.46153846153846156,0.8571428571428571,0.6593406593406593,0.72,9,0.2647058823529412,1.5,0.5454545454545454,0.4918032786885246,0.7545787545787546,0.6756105539759385,0.19677036272019127,0.15015405964325457,0.4
operational_prevalence_sweep,all_minority_0.4,5,42,1,0.4,0.4,285,114,171,34,13,21,18,3,7,6,0.5,0.7058823529411765,0.6666666666666666,0.46153846153846156,0.8571428571428571,0.6593406593406593,0.72,9,0.2647058823529412,1.5,0.5454545454545454,0.4918032786885246,0.7435897435897436,0.6646148095243118,0.19597442593496534,0.12700463568463044,0.4
operational_prevalence_sweep,all_minority_0.4,5,99,1,0.4,0.4,285,114,171,34,13,21,18,3,7,6,0.5,0.7058823529411765,0.6666666666666666,0.46153846153846156,0.8571428571428571,0.6593406593406593,0.72,9,0.2647058823529412,1.5,0.5454545454545454,0.4918032786885246,0.750915750915751,0.6664530448184294,0.1943449203445691,0.13660470790722792,0.4
operational_prevalence_sweep,all_minority_0.4,6,1,1,0.4,0.4,285,114,171,34,13,21,20,1,7,6,0.5,0.7647058823529411,0.8571428571428571,0.46153846153846156,0.9523809523809523,0.7069597069597069,0.7407407407407407,7,0.20588235294117646,1.1666666666666667,0.6,0.5084745762711864,0.6446886446886447,0.6973824392555041,0.20369174200833906,0.18959624977672804,0.4
operational_prevalence_sweep,all_minority_0.4,6,7,1,0.4,0.4,285,114,171,34,13,21,18,3,7,6,0.5,0.7058823529411765,0.6666666666666666,0.46153846153846156,0.8571428571428571,0.6593406593406593,0.72,9,0.2647058823529412,1.5,0.5454545454545454,0.4918032786885246,0.6373626373626373,0.6836870983422707,0.21172807136539262,0.25096038093461714,0.4
