outer_fold,model,candidate_id,parameters_json,inner_fold,f2,inner_train_n,inner_validation_n
final_training,KNN,4,"{""n_neighbors"": 5, ""weights"": ""distance""}",5,0.2916666666666667,269,67
final_training,KNN,5,"{""n_neighbors"": 9, ""weights"": ""distance""}",1,0.5416666666666666,268,68
final_training,KNN,5,"{""n_neighbors"": 9, ""weights"": ""distance""}",2,0.35398230088495575,269,67
final_training,KNN,5,"{""n_neighbors"": 9, ""weights"": ""distance""}",3,0.4782608695652174,269,67
final_training,KNN,5,"{""n_neighbors"": 9, ""weights"": ""distance""}",4,0.5042016806722689,269,67
final_training,KNN,5,"{""n_neighbors"": 9, ""weights"": ""distance""}",5,0.375,269,67
final_training,XGBoost,1,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}",1,0.7971014492753623,268,68
final_training,XGBoost,1,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}",2,0.4878048780487805,269,67
final_training,XGBoost,1,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}",3,0.48,269,67
final_training,XGBoost,1,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}",4,0.7251908396946565,269,67
final_training,XGBoost,1,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}",5,0.6015037593984962,269,67
final_training,XGBoost,2,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300}",1,0.7720588235294118,268,68
final_training,XGBoost,2,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300}",2,0.45454545454545453,269,67
final_training,XGBoost,2,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300}",3,0.4838709677419355,269,67
final_training,XGBoost,2,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300}",4,0.625,269,67
final_training,XGBoost,2,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300}",5,0.5639097744360902,269,67
