model,order,feature_i,feature_j,mean_signed_fsii,sd_signed_fsii,mean_abs_fsii,sd_abs_fsii,positive_direction_fraction,explained_students,signed_ci_low,signed_ci_high,direction,budget,explanation_scale,uncertainty_role,feature_i_construct,feature_j_construct
B-TabPFN K=1,2,Q1_Academic_Performance,Q11_Internet_Access,-0.0012864318,0.0052457816,0.0041783349,0.0033473654,0.34375,32,-0.0031777377,0.0006048742,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Structural and contextual barriers
B-TabPFN K=1,2,Q1_Academic_Performance,Q12_Outside_Responsibilities,0.0011254847,0.0046389374,0.0036614267,0.002998136,0.6875,32,-0.0005470306,0.002798,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Structural and contextual barriers
B-TabPFN K=1,2,Q1_Academic_Performance,Q13_Faculty,0.0015621418,0.0068782076,0.0052396561,0.0046356377,0.59375,32,-0.0009177165,0.004042,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Institutional and programme context
B-TabPFN K=1,2,Q1_Academic_Performance,Q14_Year,0.001908721,0.0060170443,0.00505077,0.0036922041,0.59375,32,-0.0002606549,0.0040780968,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Institutional and programme context
B-TabPFN K=1,2,Q1_Academic_Performance,Q16_Belonging,-0.0037613347,0.0072326722,0.0072012239,0.0036585666,0.3125,32,-0.0063689911,-0.0011536783,negative,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Social and institutional integration
B-TabPFN K=1,2,Q1_Academic_Performance,Q2_Attendance,-0.0024301642,0.0104385207,0.0078233095,0.0072028063,0.46875,32,-0.0061936523,0.0013333238,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Academic engagement and integration
B-TabPFN K=1,2,Q1_Academic_Performance,Q3_Assignments,-0.001849207,0.0062367727,0.0051129142,0.0039296349,0.375,32,-0.0040978034,0.0003993893,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Academic engagement and integration
B-TabPFN K=1,2,Q1_Academic_Performance,Q4_Repeating,0.0015085259,0.0090319574,0.0060439265,0.0067983754,0.65625,32,-0.001747842,0.0047648938,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Academic progression
B-TabPFN K=1,2,Q1_Academic_Performance,Q6_PHQ2_Interest,-0.0023320139,0.0058115964,0.0050256673,0.0036491486,0.34375,32,-0.0044273178,-0.0002367099,negative,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Psychological distress
B-TabPFN K=1,2,Q1_Academic_Performance,Q7_PHQ2_Depressed,-0.0017426168,0.007730993,0.00605997,0.0049995067,0.5,32,-0.004529937,0.0010447034,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Psychological distress
B-TabPFN K=1,2,Q1_Academic_Performance,Q8_GAD2_Nervous,-0.0020048601,0.0071273836,0.0062022787,0.0039037865,0.3125,32,-0.0045745559,0.0005648357,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Psychological distress
B-TabPFN K=1,2,Q1_Academic_Performance,Q9_GAD2_Worry,-0.0032028967,0.0073163442,0.0064647974,0.0045800191,0.3125,32,-0.0058407201,-0.0005650733,negative,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Psychological distress
B-TabPFN K=1,2,Q2_Attendance,Q10_Financial_Difficulty,-0.0012614684,0.0064450941,0.005526398,0.0034140302,0.5,32,-0.0035851726,0.0010622358,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Structural and contextual barriers
B-TabPFN K=1,2,Q2_Attendance,Q11_Internet_Access,-0.002578681,0.005550374,0.0048428707,0.0036688952,0.1875,32,-0.0045798042,-0.0005775578,negative,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Structural and contextual barriers
B-TabPFN K=1,2,Q2_Attendance,Q12_Outside_Responsibilities,-0.0031700641,0.0065164646,0.0052257874,0.0049646757,0.5,32,-0.0055195001,-0.000820628,negative,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Structural and contextual barriers
B-TabPFN K=1,2,Q2_Attendance,Q13_Faculty,0.0003312056,0.0071336023,0.005587561,0.0043328462,0.5625,32,-0.0022407323,0.0029031435,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Institutional and programme context
B-TabPFN K=1,2,Q2_Attendance,Q14_Year,-0.0038625899,0.0067037682,0.0061616765,0.0045989577,0.28125,32,-0.0062795561,-0.0014456237,negative,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Institutional and programme context
B-TabPFN K=1,2,Q2_Attendance,Q16_Belonging,-0.0052851389,0.0111086525,0.0098363829,0.0072360465,0.28125,32,-0.0092902352,-0.0012800426,negative,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Social and institutional integration
B-TabPFN K=1,2,Q2_Attendance,Q3_Assignments,-0.008367778,0.0209079934,0.0166554972,0.014935476,0.34375,32,-0.0159059135,-0.0008296426,negative,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Academic engagement and integration
B-TabPFN K=1,2,Q2_Attendance,Q4_Repeating,-0.0072905145,0.016688454,0.0098415828,0.0152770908,0.40625,32,-0.0133073438,-0.0012736852,negative,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Academic progression
B-TabPFN K=1,2,Q2_Attendance,Q6_PHQ2_Interest,-0.0005114379,0.0078617794,0.0056393446,0.0054082803,0.53125,32,-0.0033459117,0.0023230358,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Psychological distress
B-TabPFN K=1,2,Q2_Attendance,Q7_PHQ2_Depressed,-0.0045221756,0.0166594689,0.0148965978,0.0083415039,0.46875,32,-0.0105285546,0.0014842035,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Psychological distress
B-TabPFN K=1,2,Q2_Attendance,Q8_GAD2_Nervous,-0.0005429685,0.0087055862,0.00650255,0.0056960009,0.46875,32,-0.0036816671,0.00259573,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Psychological distress
B-TabPFN K=1,2,Q2_Attendance,Q9_GAD2_Worry,-0.0013578903,0.009060304,0.0069212438,0.005877377,0.40625,32,-0.0046244782,0.0019086976,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Psychological distress
B-TabPFN K=1,2,Q3_Assignments,Q10_Financial_Difficulty,0.0016934089,0.0057604901,0.0048706316,0.0034139526,0.53125,32,-0.0003834692,0.0037702871,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Structural and contextual barriers
B-TabPFN K=1,2,Q3_Assignments,Q11_Internet_Access,0.0001206981,0.0050066152,0.0037649393,0.0032325245,0.5,32,-0.0016843791,0.0019257754,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Structural and contextual barriers
B-TabPFN K=1,2,Q3_Assignments,Q12_Outside_Responsibilities,0.0009585297,0.006950506,0.0058295906,0.0037653105,0.5,32,-0.0015473949,0.0034644544,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Structural and contextual barriers
B-TabPFN K=1,2,Q3_Assignments,Q13_Faculty,0.0003928162,0.0065247468,0.0054235794,0.0035167472,0.5,32,-0.0019596059,0.0027452383,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Institutional and programme context
B-TabPFN K=1,2,Q3_Assignments,Q14_Year,-0.0017432815,0.0076217198,0.006330406,0.0044565598,0.375,32,-0.0044912045,0.0010046416,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Institutional and programme context
B-TabPFN K=1,2,Q3_Assignments,Q16_Belonging,-0.0004341014,0.0139908057,0.0120126697,0.0068540467,0.46875,32,-0.0054783248,0.0046101219,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Social and institutional integration
B-TabPFN K=1,2,Q3_Assignments,Q4_Repeating,0.0006390818,0.0162558527,0.0133030954,0.0090550105,0.625,32,-0.0052217781,0.0064999417,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Academic progression
B-TabPFN K=1,2,Q3_Assignments,Q6_PHQ2_Interest,0.0010366561,0.009218808,0.0071823868,0.0057310537,0.5,32,-0.0022870786,0.0043603908,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Psychological distress
