order,feature_i,feature_j,restricted_mean_signed_fsii,restricted_sd_signed_fsii,restricted_mean_abs_fsii,explained_students
2,Q1_Academic_Performance,Q11_Internet_Access,-0.0011518730686115,0.004276997529092604,0.0037009924714496286,32
2,Q1_Academic_Performance,Q12_Outside_Responsibilities,-0.0009041453276343216,0.004503074756097761,0.0033742654512728385,32
2,Q1_Academic_Performance,Q13_Faculty,-0.001298326242434533,0.006434232800004365,0.005245775960727048,32
2,Q1_Academic_Performance,Q14_Year,-0.00014202490503390357,0.004314586474114331,0.003741066633765278,32
2,Q1_Academic_Performance,Q16_Belonging,-0.005054372556092302,0.009492723412487254,0.009082181284425254,32
2,Q1_Academic_Performance,Q2_Attendance,-0.0018629295938024665,0.008996168525398142,0.007030038776003327,32
2,Q1_Academic_Performance,Q3_Assignments,-0.0020488781044915414,0.006839259667028566,0.005298415762567567,32
2,Q1_Academic_Performance,Q4_Repeating,-0.0016743640606734793,0.010989527260929747,0.005732555465260256,32
2,Q2_Attendance,Q10_Financial_Difficulty,-0.0026107121194533112,0.009585167333186028,0.008097401097988153,32
2,Q2_Attendance,Q11_Internet_Access,-0.0010691694473269418,0.003992843571892651,0.0033321184147587974,32
2,Q2_Attendance,Q12_Outside_Responsibilities,-0.004797035018683981,0.012919346234114518,0.010286094067116001,32
2,Q2_Attendance,Q13_Faculty,-0.0006571000650985976,0.00653813313823932,0.00506101621105681,32
2,Q2_Attendance,Q14_Year,-0.0030060449169025897,0.008039881825083311,0.006541004533323213,32
2,Q2_Attendance,Q16_Belonging,-0.004915820928072598,0.011898186602752738,0.009626115727916933,32
2,Q2_Attendance,Q3_Assignments,-0.008893904410371994,0.0301101455974518,0.021380542434857312,32
2,Q2_Attendance,Q4_Repeating,-0.007058636993481328,0.01992501722973796,0.011222738432724817,32
2,Q3_Assignments,Q10_Financial_Difficulty,0.0003578135820621448,0.008699457685333508,0.006638071400473387,32
2,Q3_Assignments,Q11_Internet_Access,-0.001682006917442717,0.005916964547946663,0.004762143799528522,32
2,Q3_Assignments,Q12_Outside_Responsibilities,0.001942046046735961,0.012314917932304286,0.010892795153245167,32
2,Q3_Assignments,Q13_Faculty,0.000888540151027183,0.005780656002070874,0.004480644614346247,32
2,Q3_Assignments,Q14_Year,-0.0023327796600469746,0.011239806864299115,0.009629906750138814,32
2,Q3_Assignments,Q16_Belonging,-0.002441711371491935,0.02203025699435577,0.019515421566923173,32
2,Q3_Assignments,Q4_Repeating,0.004058368824324279,0.016245860736220634,0.014258497881469283,32
2,Q4_Repeating,Q10_Financial_Difficulty,-0.0022106594025868413,0.009069814077563984,0.006083877245870236,32
2,Q4_Repeating,Q11_Internet_Access,-0.0003448052252903703,0.0015366318120674342,0.0012010408352474816,32
2,Q4_Repeating,Q12_Outside_Responsibilities,0.0011033443275319016,0.011562859840441793,0.008903476034296871,32
2,Q4_Repeating,Q13_Faculty,-0.0005048951033070484,0.002890584001562706,0.0022238813108838742,32
2,Q4_Repeating,Q14_Year,0.00030030531979119516,0.006024375589537919,0.004200445309919565,32
2,Q4_Repeating,Q16_Belonging,-0.005552258891231654,0.018798394448284295,0.01089204733199574,32
