model,curve,x,y,threshold
B-TabPFN nested K,ROC,0.9904306220095693,0.984251968503937,0.16585855185985565
B-TabPFN nested K,ROC,0.9904306220095693,0.9921259842519685,0.16328604519367218
B-TabPFN nested K,ROC,1.0,0.9921259842519685,0.15355037152767181
B-TabPFN nested K,ROC,1.0,1.0,0.14559492468833923
B-TabPFN nested K,PR,1.0,0.37797619047619047,0.14559492468833923
B-TabPFN nested K,PR,0.9921259842519685,0.3761194029850746,0.15355037152767181
B-TabPFN nested K,PR,0.9921259842519685,0.3772455089820359,0.15604396164417267
B-TabPFN nested K,PR,0.9921259842519685,0.3783783783783784,0.16328604519367218
B-TabPFN nested K,PR,0.984251968503937,0.37650602409638556,0.16585855185985565
B-TabPFN nested K,PR,0.984251968503937,0.3776435045317221,0.16951097548007965
B-TabPFN nested K,PR,0.984251968503937,0.3787878787878788,0.1696363240480423
B-TabPFN nested K,PR,0.984251968503937,0.3799392097264438,0.16982053220272064
B-TabPFN nested K,PR,0.984251968503937,0.38109756097560976,0.1724214404821396
B-TabPFN nested K,PR,0.984251968503937,0.382262996941896,0.17431640625
B-TabPFN nested K,PR,0.984251968503937,0.3834355828220859,0.1767578125
B-TabPFN nested K,PR,0.984251968503937,0.38461538461538464,0.17714564502239227
B-TabPFN nested K,PR,0.984251968503937,0.38580246913580246,0.1786106675863266
B-TabPFN nested K,PR,0.9763779527559056,0.38390092879256965,0.17906169593334198
B-TabPFN nested K,PR,0.9763779527559056,0.38509316770186336,0.17937318980693817
B-TabPFN nested K,PR,0.9763779527559056,0.3862928348909657,0.1826171875
B-TabPFN nested K,PR,0.9763779527559056,0.3875,0.18408432602882385
B-TabPFN nested K,PR,0.9763779527559056,0.3887147335423197,0.18583638966083527
B-TabPFN nested K,PR,0.9763779527559056,0.389937106918239,0.18798828125
B-TabPFN nested K,PR,0.9763779527559056,0.3911671924290221,0.1885756105184555
B-TabPFN nested K,PR,0.9763779527559056,0.3924050632911392,0.18955205380916595
B-TabPFN nested K,PR,0.9763779527559056,0.39365079365079364,0.18984250724315643
B-TabPFN nested K,PR,0.9763779527559056,0.39490445859872614,0.19134637713432312
B-TabPFN nested K,PR,0.968503937007874,0.3929712460063898,0.19150494039058685
B-TabPFN nested K,PR,0.968503937007874,0.3942307692307692,0.19521425664424896
B-TabPFN nested K,PR,0.968503937007874,0.3954983922829582,0.19609279930591583
B-TabPFN nested K,PR,0.968503937007874,0.3967741935483871,0.1966792792081833
B-TabPFN nested K,PR,0.968503937007874,0.39805825242718446,0.1968158632516861
B-TabPFN nested K,PR,0.968503937007874,0.39935064935064934,0.20126937329769135
B-TabPFN nested K,PR,0.968503937007874,0.4006514657980456,0.20273403823375702
B-TabPFN nested K,PR,0.9606299212598425,0.39869281045751637,0.20322225987911224
B-TabPFN nested K,PR,0.9606299212598425,0.4,0.20361328125
B-TabPFN nested K,PR,0.9606299212598425,0.40131578947368424,0.20458984375
B-TabPFN nested K,PR,0.952755905511811,0.39933993399339934,0.20712803304195404
B-TabPFN nested K,PR,0.952755905511811,0.40066225165562913,0.20820112526416779
B-TabPFN nested K,PR,0.952755905511811,0.4019933554817276,0.208984375
B-TabPFN nested K,PR,0.952755905511811,0.4033333333333333,0.21172161400318146
B-TabPFN nested K,PR,0.952755905511811,0.40468227424749165,0.21435546875
B-TabPFN nested K,PR,0.952755905511811,0.40604026845637586,0.2162497341632843
B-TabPFN nested K,PR,0.952755905511811,0.4074074074074074,0.21758241951465607
B-TabPFN nested K,PR,0.952755905511811,0.40878378378378377,0.21826171875
B-TabPFN nested K,PR,0.9448818897637795,0.4067796610169492,0.21875
B-TabPFN nested K,PR,0.9448818897637795,0.40816326530612246,0.22051282227039337
B-TabPFN nested K,PR,0.9448818897637795,0.40955631399317405,0.22128646075725555
B-TabPFN nested K,PR,0.9448818897637795,0.410958904109589,0.22295482456684113
B-TabPFN nested K,PR,0.9448818897637795,0.41237113402061853,0.22577495872974396
B-TabPFN nested K,PR,0.9448818897637795,0.41522491349480967,0.22588522732257843
B-TabPFN nested K,PR,0.9448818897637795,0.4166666666666667,0.22686202824115753
B-TabPFN nested K,PR,0.9448818897637795,0.4181184668989547,0.2279330939054489
B-TabPFN nested K,PR,0.9448818897637795,0.4195804195804196,0.23046875
B-TabPFN nested K,PR,0.9448818897637795,0.42105263157894735,0.232421875
B-TabPFN nested K,PR,0.9448818897637795,0.4225352112676056,0.23272283375263214
B-TabPFN nested K,PR,0.9448818897637795,0.42402826855123676,0.23574654757976532
B-TabPFN nested K,PR,0.9448818897637795,0.425531914893617,0.23583984375
B-TabPFN nested K,PR,0.9448818897637795,0.42704626334519574,0.23663003742694855
B-TabPFN nested K,PR,0.9448818897637795,0.42857142857142855,0.23736336827278137
B-TabPFN nested K,PR,0.9448818897637795,0.43010752688172044,0.2389553338289261
B-TabPFN nested K,PR,0.9448818897637795,0.4316546762589928,0.23997533321380615
B-TabPFN nested K,PR,0.9448818897637795,0.4332129963898917,0.24009394645690918
