analysis,design,fold,seed,K,requested_minority_prevalence,realized_minority_prevalence,context_n,context_minority_n,context_majority_n,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10,balance
context_size_balance_by_k,balanced_50,4,99,1,0.5,0.5,228,114,114,34,13,21,17,4,8,5,0.5,0.6470588235294118,0.5555555555555556,0.38461538461538464,0.8095238095238095,0.5970695970695971,0.68,9,0.2647058823529412,1.8,0.45454545454545453,0.4098360655737705,0.6831501831501832,0.5022662880635016,0.24562903341654763,0.322071104803506,balanced_50
context_size_balance_by_k,balanced_50,4,99,20,0.5,0.5,228,114,114,34,13,21,16,5,7,6,0.5,0.6470588235294118,0.5454545454545454,0.46153846153846156,0.7619047619047619,0.6117216117216118,0.6956521739130435,11,0.3235294117647059,1.8333333333333333,0.5,0.47619047619047616,0.6556776556776557,0.5064053535696004,0.24087018136701352,0.17632247507572174,balanced_50
context_size_balance_by_k,balanced_50,5,1,1,0.5,0.5,228,114,114,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.7509157509157509,0.672806079254427,0.19882248839644093,0.14154019206762317,balanced_50
context_size_balance_by_k,balanced_50,5,1,20,0.5,0.5,228,114,114,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.7582417582417582,0.6805056588710434,0.1968448259851513,0.14867789736565423,balanced_50
context_size_balance_by_k,balanced_50,5,7,1,0.5,0.5,228,114,114,34,13,21,16,5,4,9,0.5,0.7352941176470589,0.6428571428571429,0.6923076923076923,0.7619047619047619,0.7271062271062271,0.8,14,0.4117647058823529,1.5555555555555556,0.6666666666666666,0.6818181818181818,0.7802197802197802,0.7220674875652251,0.1873296229543936,0.11674127114169738,balanced_50
context_size_balance_by_k,balanced_50,5,7,20,0.5,0.5,228,114,114,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.761904761904762,0.6869159152812998,0.19530992339120234,0.135424186639926,balanced_50
context_size_balance_by_k,balanced_50,5,21,1,0.5,0.5,228,114,114,34,13,21,17,4,4,9,0.5,0.7647058823529411,0.6923076923076923,0.6923076923076923,0.8095238095238095,0.7509157509157509,0.8095238095238095,13,0.38235294117647056,1.4444444444444444,0.6923076923076923,0.6923076923076923,0.7435897435897436,0.6680816449764415,0.19796041909810702,0.13230202960617402,balanced_50
context_size_balance_by_k,balanced_50,5,21,20,0.5,0.5,228,114,114,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.7545787545787546,0.6756105539759385,0.19690796385490641,0.14921248879502802,balanced_50
context_size_balance_by_k,balanced_50,5,42,1,0.5,0.5,228,114,114,34,13,21,17,4,6,7,0.5,0.7058823529411765,0.6363636363636364,0.5384615384615384,0.8095238095238095,0.673992673992674,0.7391304347826086,11,0.3235294117647059,1.5714285714285714,0.5833333333333334,0.5555555555555556,0.7692307692307693,0.6862519590077611,0.19437487075469528,0.1126902576755075,balanced_50
context_size_balance_by_k,balanced_50,5,42,20,0.5,0.5,228,114,114,34,13,21,16,5,4,9,0.5,0.7352941176470589,0.6428571428571429,0.6923076923076923,0.7619047619047619,0.7271062271062271,0.8,14,0.4117647058823529,1.5555555555555556,0.6666666666666666,0.6818181818181818,0.7545787545787546,0.6756105539759385,0.19759679933827093,0.15422261418665156,balanced_50
