model,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10
Standard TabPFN v2,336,127,209,193,16,87,40,0.62,0.693452381,0.7142857143,0.3149606299,0.9234449761,0.619202803,0.6892857143,56,0.1666666667,1.4,0.4371584699,0.3546099291,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,195,14,90,37,0.63,0.6904761905,0.7254901961,0.2913385827,0.9330143541,0.6121764684,0.6842105263,51,0.1517857143,1.3783783784,0.4157303371,0.3309481216,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,196,13,90,37,0.64,0.693452381,0.74,0.2913385827,0.9377990431,0.6145688129,0.6853146853,50,0.1488095238,1.3513513514,0.418079096,0.3315412186,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,200,9,90,37,0.65,0.7053571429,0.8043478261,0.2913385827,0.956937799,0.6241381909,0.6896551724,46,0.1369047619,1.2432432432,0.4277456647,0.3339350181,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,201,8,93,34,0.66,0.6994047619,0.8095238095,0.2677165354,0.961722488,0.6147195117,0.6836734694,42,0.125,1.2352941176,0.4023668639,0.3090909091,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,201,8,95,32,0.67,0.693452381,0.8,0.2519685039,0.961722488,0.606845496,0.6790540541,40,0.119047619,1.25,0.3832335329,0.2919708029,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,201,8,96,31,0.68,0.6904761905,0.7948717949,0.2440944882,0.961722488,0.6029084881,0.6767676768,39,0.1160714286,1.2580645161,0.3734939759,0.2833638026,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,202,7,98,29,0.69,0.6875,0.8055555556,0.2283464567,0.966507177,0.5974268169,0.6733333333,36,0.1071428571,1.2413793103,0.3558282209,0.2665441176,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,204,5,100,27,0.7,0.6875,0.84375,0.2125984252,0.976076555,0.5943374901,0.6710526316,32,0.0952380952,1.1851851852,0.3396226415,0.25,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,204,5,100,27,0.71,0.6875,0.84375,0.2125984252,0.976076555,0.5943374901,0.6710526316,32,0.0952380952,1.1851851852,0.3396226415,0.25,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,204,5,104,23,0.72,0.6755952381,0.8214285714,0.1811023622,0.976076555,0.5785894586,0.6623376623,28,0.0833333333,1.2173913043,0.2967741935,0.2145522388,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,204,5,108,19,0.73,0.6636904762,0.7916666667,0.1496062992,0.976076555,0.5628414271,0.6538461538,24,0.0714285714,1.2631578947,0.2516556291,0.1785714286,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,205,4,112,15,0.74,0.6547619048,0.7894736842,0.1181102362,0.980861244,0.5494857401,0.6466876972,19,0.056547619,1.2666666667,0.2054794521,0.1423149905,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,205,4,112,15,0.75,0.6547619048,0.7894736842,0.1181102362,0.980861244,0.5494857401,0.6466876972,19,0.056547619,1.2666666667,0.2054794521,0.1423149905,0.7525336247,0.6394063959,0.1918938649,0.0547169641
