analysis,design,fold,seed,K,requested_minority_prevalence,realized_minority_prevalence,context_n,context_minority_n,context_majority_n,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10,prevalence_condition
fixed_size_prevalence_sweep,fixed_n_228_0.4,4,7,1,0.4,0.3991228070175439,228,91,137,34,13,21,16,5,9,4,0.5,0.5882352941176471,0.4444444444444444,0.3076923076923077,0.7619047619047619,0.5347985347985348,0.64,9,0.2647058823529412,2.25,0.36363636363636365,0.32786885245901637,0.6208791208791209,0.4623445724183995,0.24936163084861712,0.21153252922436766,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,4,21,1,0.4,0.3991228070175439,228,91,137,34,13,21,17,4,10,3,0.5,0.5882352941176471,0.42857142857142855,0.23076923076923078,0.8095238095238095,0.5201465201465202,0.6296296296296297,7,0.20588235294117646,2.3333333333333335,0.3,0.2542372881355932,0.6263736263736264,0.4929064867794456,0.2411132563583204,0.12762152052977507,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,4,42,1,0.4,0.3991228070175439,228,91,137,34,13,21,17,4,10,3,0.5,0.5882352941176471,0.42857142857142855,0.23076923076923078,0.8095238095238095,0.5201465201465202,0.6296296296296297,7,0.20588235294117646,2.3333333333333335,0.3,0.2542372881355932,0.6666666666666667,0.5131649636912795,0.2439313890995718,0.23921518444138412,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,4,99,1,0.4,0.3991228070175439,228,91,137,34,13,21,17,4,9,4,0.5,0.6176470588235294,0.5,0.3076923076923077,0.8095238095238095,0.5586080586080586,0.6538461538461539,8,0.23529411764705882,2.0,0.38095238095238093,0.3333333333333333,0.6776556776556777,0.5222571383612573,0.23223910165238987,0.15840909279444637,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,5,1,1,0.4,0.3991228070175439,228,91,137,34,13,21,18,3,8,5,0.5,0.6764705882352942,0.625,0.38461538461538464,0.8571428571428571,0.6208791208791209,0.6923076923076923,8,0.23529411764705882,1.6,0.47619047619047616,0.4166666666666667,0.73992673992674,0.6526390276390275,0.19898899775250828,0.13783912426408598,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,5,7,1,0.4,0.3991228070175439,228,91,137,34,13,21,19,2,8,5,0.5,0.7058823529411765,0.7142857142857143,0.38461538461538464,0.9047619047619048,0.6446886446886447,0.7037037037037037,7,0.20588235294117646,1.4,0.5,0.423728813559322,0.7472527472527473,0.6949672514155993,0.19734008007823328,0.15492337942123413,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,5,21,1,0.4,0.3991228070175439,228,91,137,34,13,21,19,2,7,6,0.5,0.7352941176470589,0.75,0.46153846153846156,0.9047619047619048,0.6831501831501832,0.7307692307692307,8,0.23529411764705882,1.3333333333333333,0.5714285714285714,0.5,0.7545787545787546,0.6592026563180409,0.20521780110614618,0.26961250647025947,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,5,42,1,0.4,0.3991228070175439,228,91,137,34,13,21,18,3,7,6,0.5,0.7058823529411765,0.6666666666666666,0.46153846153846156,0.8571428571428571,0.6593406593406593,0.72,9,0.2647058823529412,1.5,0.5454545454545454,0.4918032786885246,0.750915750915751,0.672782499677296,0.19482829682099984,0.1558925658464432,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,5,99,1,0.4,0.3991228070175439,228,91,137,34,13,21,18,3,7,6,0.5,0.7058823529411765,0.6666666666666666,0.46153846153846156,0.8571428571428571,0.6593406593406593,0.72,9,0.2647058823529412,1.5,0.5454545454545454,0.4918032786885246,0.7307692307692308,0.6403602714471066,0.20488770377118312,0.12282466581639123,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,6,1,1,0.4,0.3991228070175439,228,91,137,34,13,21,19,2,7,6,0.5,0.7352941176470589,0.75,0.46153846153846156,0.9047619047619048,0.6831501831501832,0.7307692307692307,8,0.23529411764705882,1.3333333333333333,0.5714285714285714,0.5,0.6227106227106227,0.6799070548563448,0.21033886872527863,0.2144895358120694,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,6,7,1,0.4,0.3991228070175439,228,91,137,34,13,21,20,1,7,6,0.5,0.7647058823529411,0.8571428571428571,0.46153846153846156,0.9523809523809523,0.7069597069597069,0.7407407407407407,7,0.20588235294117646,1.1666666666666667,0.6,0.5084745762711864,0.6483516483516484,0.7089005507736157,0.20125047070723132,0.21290508942569,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,6,21,1,0.4,0.3991228070175439,228,91,137,34,13,21,19,2,7,6,0.5,0.7352941176470589,0.75,0.46153846153846156,0.9047619047619048,0.6831501831501832,0.7307692307692307,8,0.23529411764705882,1.3333333333333333,0.5714285714285714,0.5,0.6483516483516484,0.6852577360883556,0.203252354941928,0.22181871905922892,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,6,42,1,0.4,0.3991228070175439,228,91,137,34,13,21,19,2,7,6,0.5,0.7352941176470589,0.75,0.46153846153846156,0.9047619047619048,0.6831501831501832,0.7307692307692307,8,0.23529411764705882,1.3333333333333333,0.5714285714285714,0.5,0.6446886446886447,0.7036800889742065,0.20457634647917314,0.21025867409565868,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,6,99,1,0.4,0.3991228070175439,228,91,137,34,13,21,18,3,7,6,0.5,0.7058823529411765,0.6666666666666666,0.46153846153846156,0.8571428571428571,0.6593406593406593,0.72,9,0.2647058823529412,1.5,0.5454545454545454,0.4918032786885246,0.6373626373626373,0.6824296074296075,0.20911312475343688,0.21824032769483678,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,10,1,1,0.4,0.3991228070175439,228,91,137,33,13,20,15,5,4,9,0.5,0.7272727272727273,0.6428571428571429,0.6923076923076923,0.75,0.7211538461538461,0.7894736842105263,14,0.42424242424242425,1.5555555555555556,0.6666666666666666,0.6818181818181818,0.8923076923076924,0.8647534654887596,0.14761848387783613,0.22859104384075513,0.40
