fold,model,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10,selected_k
3,B-TabPFN K=10 sensitivity,34,13,21,11,10,7,6,0.5,0.5,0.375,0.46153846153846156,0.5238095238095238,0.4926739926739927,0.6111111111111112,16,0.47058823529411764,2.6666666666666665,0.41379310344827586,0.4411764705882353,0.6007326007326008,0.4863046340374275,0.2600465569407151,0.21696972408715415,
3,B-TabPFN K=15 sensitivity,34,13,21,11,10,7,6,0.5,0.5,0.375,0.46153846153846156,0.5238095238095238,0.4926739926739927,0.6111111111111112,16,0.47058823529411764,2.6666666666666665,0.41379310344827586,0.4411764705882353,0.5934065934065934,0.4831866993405455,0.25975065113232854,0.22528012798112979,
3,B-TabPFN K=20 sensitivity,34,13,21,11,10,7,6,0.5,0.5,0.375,0.46153846153846156,0.5238095238095238,0.4926739926739927,0.6111111111111112,16,0.47058823529411764,2.6666666666666665,0.41379310344827586,0.4411764705882353,0.5787545787545788,0.4664871595640826,0.25956530219162577,0.22331267157021695,
4,Logistic Regression,34,13,21,17,4,8,5,0.5,0.6470588235294118,0.5555555555555556,0.38461538461538464,0.8095238095238095,0.5970695970695971,0.68,9,0.2647058823529412,1.8,0.45454545454545453,0.4098360655737705,0.6263736263736264,0.4714176888444571,0.24758583753587093,0.20400163200293248,
4,Random Forest,34,13,21,17,4,8,5,0.5,0.6470588235294118,0.5555555555555556,0.38461538461538464,0.8095238095238095,0.5970695970695971,0.68,9,0.2647058823529412,1.8,0.45454545454545453,0.4098360655737705,0.5970695970695971,0.5280996846932,0.23968404716200792,0.13574787145900352,
4,Gaussian Naive Bayes,34,13,21,3,18,0,13,0.5,0.47058823529411764,0.41935483870967744,1.0,0.14285714285714285,0.5714285714285714,1.0,31,0.9117647058823529,2.3846153846153846,0.5909090909090909,0.7831325301204819,0.6263736263736264,0.4710079746619201,0.4787446877943052,0.5019444188101381,
4,KNN,34,13,21,18,3,6,7,0.5,0.7352941176470589,0.7,0.5384615384615384,0.8571428571428571,0.6978021978021978,0.75,10,0.29411764705882354,1.4285714285714286,0.6086956521739131,0.5645161290322581,0.7307692307692308,0.6229260935143288,0.19934640522875816,0.08823529411764705,
4,XGBoost,34,13,21,17,4,8,5,0.5,0.6470588235294118,0.5555555555555556,0.38461538461538464,0.8095238095238095,0.5970695970695971,0.68,9,0.2647058823529412,1.8,0.45454545454545453,0.4098360655737705,0.5531135531135531,0.5146835442084311,0.27575493713640886,0.31995177323765617,
4,Standard TabPFN v2,34,13,21,17,4,10,3,0.5,0.5882352941176471,0.42857142857142855,0.23076923076923078,0.8095238095238095,0.5201465201465202,0.6296296296296297,7,0.20588235294117646,2.3333333333333335,0.3,0.2542372881355932,0.6556776556776557,0.5060979563632262,0.2422125471485988,0.23985804770799246,
4,B-TabPFN nested K,34,13,21,14,7,7,6,0.5,0.5882352941176471,0.46153846153846156,0.46153846153846156,0.6666666666666666,0.5641025641025641,0.6666666666666666,13,0.38235294117647056,2.1666666666666665,0.46153846153846156,0.46153846153846156,0.6556776556776558,0.5008292601791055,0.24246371375573783,0.14992210488109028,1.0
4,B-TabPFN K=1 sensitivity,34,13,21,14,7,7,6,0.5,0.5882352941176471,0.46153846153846156,0.46153846153846156,0.6666666666666666,0.5641025641025641,0.6666666666666666,13,0.38235294117647056,2.1666666666666665,0.46153846153846156,0.46153846153846156,0.6556776556776558,0.5008292601791055,0.24246371375573783,0.14992210488109028,
4,B-TabPFN K=5 sensitivity,34,13,21,16,5,7,6,0.5,0.6470588235294118,0.5454545454545454,0.46153846153846156,0.7619047619047619,0.6117216117216118,0.6956521739130435,11,0.3235294117647059,1.8333333333333333,0.5,0.47619047619047616,0.652014652014652,0.5030711849210301,0.2378697167303957,0.16739818234654036,
4,B-TabPFN K=10 sensitivity,34,13,21,17,4,7,6,0.5,0.6764705882352942,0.6,0.46153846153846156,0.8095238095238095,0.6355311355311355,0.7083333333333334,10,0.29411764705882354,1.6666666666666667,0.5217391304347826,0.4838709677419355,0.6556776556776557,0.5072669891168343,0.23708511058867487,0.22990066952565139,
4,B-TabPFN K=15 sensitivity,34,13,21,17,4,7,6,0.5,0.6764705882352942,0.6,0.46153846153846156,0.8095238095238095,0.6355311355311355,0.7083333333333334,10,0.29411764705882354,1.6666666666666667,0.5217391304347826,0.4838709677419355,0.6630036630036631,0.5100886552068662,0.2375253811052911,0.24762728941791196,
4,B-TabPFN K=20 sensitivity,34,13,21,17,4,7,6,0.5,0.6764705882352942,0.6,0.46153846153846156,0.8095238095238095,0.6355311355311355,0.7083333333333334,10,0.29411764705882354,1.6666666666666667,0.5217391304347826,0.4838709677419355,0.6630036630036631,0.5100886552068662,0.23740922052883176,0.2474667640293346,
5,Logistic Regression,34,13,21,18,3,4,9,0.5,0.7941176470588235,0.75,0.6923076923076923,0.8571428571428571,0.7747252747252746,0.8181818181818182,12,0.35294117647058826,1.3333333333333333,0.72,0.703125,0.8095238095238095,0.7967823855380416,0.19068623413483338,0.2059195786346693,
5,Random Forest,34,13,21,17,4,4,9,0.5,0.7647058823529411,0.6923076923076923,0.6923076923076923,0.8095238095238095,0.7509157509157509,0.8095238095238095,13,0.38235294117647056,1.4444444444444444,0.6923076923076923,0.6923076923076923,0.7875457875457876,0.7577096514596515,0.18681896282745925,0.159354727562536,
5,Gaussian Naive Bayes,34,13,21,2,19,0,13,0.5,0.4411764705882353,0.40625,1.0,0.09523809523809523,0.5476190476190477,1.0,32,0.9411764705882353,2.4615384615384617,0.5777777777777777,0.7738095238095238,0.7545787545787546,0.658165490423555,0.5580256204127836,0.5582295942098785,
5,KNN,34,13,21,20,1,8,5,0.5,0.7352941176470589,0.8333333333333334,0.38461538461538464,0.9523809523809523,0.6684981684981685,0.7142857142857143,6,0.17647058823529413,1.2,0.5263157894736842,0.43103448275862066,0.771062271062271,0.6234917043740573,0.2124183006535948,0.20588235294117646,
5,XGBoost,34,13,21,16,5,4,9,0.5,0.7352941176470589,0.6428571428571429,0.6923076923076923,0.7619047619047619,0.7271062271062271,0.8,14,0.4117647058823529,1.5555555555555556,0.6666666666666666,0.6818181818181818,0.7765567765567766,0.7029800849305492,0.19208568528554162,0.12015288860044059,
5,Standard TabPFN v2,34,13,21,18,3,8,5,0.5,0.6764705882352942,0.625,0.38461538461538464,0.8571428571428571,0.6208791208791209,0.6923076923076923,8,0.23529411764705882,1.6,0.47619047619047616,0.4166666666666667,0.7472527472527474,0.667861892381123,0.19597845470990394,0.13778583573944428,
5,B-TabPFN nested K,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.7435897435897436,0.6680561425753735,0.1992373680271259,0.13507666789433537,1.0
5,B-TabPFN K=1 sensitivity,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.7435897435897436,0.6680561425753735,0.1992373680271259,0.13507666789433537,
5,B-TabPFN K=5 sensitivity,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.761904761904762,0.6851676635330481,0.1982470025351662,0.15158680081367493,
5,B-TabPFN K=10 sensitivity,34,13,21,16,5,4,9,0.5,0.7352941176470589,0.6428571428571429,0.6923076923076923,0.7619047619047619,0.7271062271062271,0.8,14,0.4117647058823529,1.5555555555555556,0.6666666666666666,0.6818181818181818,0.7582417582417582,0.6805056588710434,0.1964551131744664,0.1533120673368959,
5,B-TabPFN K=15 sensitivity,34,13,21,16,5,4,9,0.5,0.7352941176470589,0.6428571428571429,0.6923076923076923,0.7619047619047619,0.7271062271062271,0.8,14,0.4117647058823529,1.5555555555555556,0.6666666666666666,0.6818181818181818,0.7582417582417582,0.6805056588710434,0.19786620834350313,0.15292891421738788,
5,B-TabPFN K=20 sensitivity,34,13,21,16,5,4,9,0.5,0.7352941176470589,0.6428571428571429,0.6923076923076923,0.7619047619047619,0.7271062271062271,0.8,14,0.4117647058823529,1.5555555555555556,0.6666666666666666,0.6818181818181818,0.7545787545787547,0.6767017704517704,0.19719814398964025,0.15295392713126016,
6,Logistic Regression,34,13,21,18,3,7,6,0.5,0.7058823529411765,0.6666666666666666,0.46153846153846156,0.8571428571428571,0.6593406593406593,0.72,9,0.2647058823529412,1.5,0.5454545454545454,0.4918032786885246,0.652014652014652,0.6696346788223217,0.20884878861594602,0.18460669296826007,
6,Random Forest,34,13,21,17,4,6,7,0.5,0.7058823529411765,0.6363636363636364,0.5384615384615384,0.8095238095238095,0.673992673992674,0.7391304347826086,11,0.3235294117647059,1.5714285714285714,0.5833333333333334,0.5555555555555556,0.6593406593406593,0.6936367585406047,0.20736744867557277,0.20149778264085838,
6,Gaussian Naive Bayes,34,13,21,1,20,1,12,0.5,0.38235294117647056,0.375,0.9230769230769231,0.047619047619047616,0.4853479853479854,0.5,32,0.9411764705882353,2.6666666666666665,0.5333333333333333,0.7142857142857143,0.652014652014652,0.6923709771874398,0.5785799781846057,0.5889769295896756,
6,KNN,34,13,21,18,3,6,7,0.5,0.7352941176470589,0.7,0.5384615384615384,0.8571428571428571,0.6978021978021978,0.75,10,0.29411764705882354,1.4285714285714286,0.6086956521739131,0.5645161290322581,0.7142857142857142,0.6351548903585102,0.20261437908496732,0.1176470588235294,
6,XGBoost,34,13,21,15,6,7,6,0.5,0.6176470588235294,0.5,0.46153846153846156,0.7142857142857143,0.5879120879120879,0.6818181818181818,12,0.35294117647058826,2.0,0.48,0.46875,0.652014652014652,0.6735169611030323,0.254437390747427,0.27207162406514673,
6,Standard TabPFN v2,34,13,21,19,2,7,6,0.5,0.7352941176470589,0.75,0.46153846153846156,0.9047619047619048,0.6831501831501832,0.7307692307692307,8,0.23529411764705882,1.3333333333333333,0.5714285714285714,0.5,0.6446886446886447,0.6899521502462678,0.20321182464772863,0.19454422593116763,
6,B-TabPFN nested K,34,13,21,17,4,6,7,0.5,0.7058823529411765,0.6363636363636364,0.5384615384615384,0.8095238095238095,0.673992673992674,0.7391304347826086,11,0.3235294117647059,1.5714285714285714,0.5833333333333334,0.5555555555555556,0.652014652014652,0.710170820464938,0.2121441043789913,0.20706210636040745,5.0
6,B-TabPFN K=1 sensitivity,34,13,21,16,5,6,7,0.5,0.6764705882352942,0.5833333333333334,0.5384615384615384,0.7619047619047619,0.6501831501831501,0.7272727272727273,12,0.35294117647058826,1.7142857142857142,0.56,0.546875,0.6483516483516484,0.6941294245848324,0.21359217427468502,0.2207005335127606,
6,B-TabPFN K=5 sensitivity,34,13,21,17,4,6,7,0.5,0.7058823529411765,0.6363636363636364,0.5384615384615384,0.8095238095238095,0.673992673992674,0.7391304347826086,11,0.3235294117647059,1.5714285714285714,0.5833333333333334,0.5555555555555556,0.652014652014652,0.710170820464938,0.2121441043789913,0.20706210636040745,
6,B-TabPFN K=10 sensitivity,34,13,21,15,6,6,7,0.5,0.6470588235294118,0.5384615384615384,0.5384615384615384,0.7142857142857143,0.6263736263736264,0.7142857142857143,13,0.38235294117647056,1.8571428571428572,0.5384615384615384,0.5384615384615384,0.6556776556776557,0.70176068221609,0.21460751001195794,0.21124305313124372,
6,B-TabPFN K=15 sensitivity,34,13,21,16,5,6,7,0.5,0.6764705882352942,0.5833333333333334,0.5384615384615384,0.7619047619047619,0.6501831501831501,0.7272727272727273,12,0.35294117647058826,1.7142857142857142,0.56,0.546875,0.6556776556776557,0.7111013415567493,0.21405093224956334,0.22878294657258427,
6,B-TabPFN K=20 sensitivity,34,13,21,16,5,6,7,0.5,0.6764705882352942,0.5833333333333334,0.5384615384615384,0.7619047619047619,0.6501831501831501,0.7272727272727273,12,0.35294117647058826,1.7142857142857142,0.56,0.546875,0.6556776556776557,0.7111013415567493,0.2136145479798782,0.21042079697636995,
7,Logistic Regression,33,12,21,12,9,4,8,0.5,0.6060606060606061,0.47058823529411764,0.6666666666666666,0.5714285714285714,0.6190476190476191,0.75,17,0.5151515151515151,2.125,0.5517241379310345,0.6153846153846154,0.6507936507936508,0.5339121549293118,0.241746073487048,0.1865997101104286,
7,Random Forest,33,12,21,15,6,4,8,0.5,0.696969696969697,0.5714285714285714,0.6666666666666666,0.7142857142857143,0.6904761904761905,0.7894736842105263,14,0.42424242424242425,1.75,0.6153846153846154,0.6451612903225806,0.7063492063492064,0.5753573419334288,0.21960450227480996,0.14208995679037,
7,Gaussian Naive Bayes,33,12,21,1,20,1,11,0.5,0.36363636363636365,0.3548387096774194,0.9166666666666666,0.047619047619047616,0.4821428571428571,0.5,31,0.9393939393939394,2.8181818181818183,0.5116279069767442,0.6962025316455697,0.6825396825396827,0.6534714018233289,0.6038394324023875,0.6157256627664713,
7,KNN,33,12,21,16,5,6,6,0.5,0.6666666666666666,0.5454545454545454,0.5,0.7619047619047619,0.6309523809523809,0.7272727272727273,11,0.3333333333333333,1.8333333333333333,0.5217391304347826,0.5084745762711864,0.6746031746031746,0.5022594364699628,0.24579124579124578,0.1717171717171717,
7,XGBoost,33,12,21,15,6,5,7,0.5,0.6666666666666666,0.5384615384615384,0.5833333333333334,0.7142857142857143,0.6488095238095238,0.75,13,0.3939393939393939,1.8571428571428572,0.56,0.5737704918032787,0.7063492063492064,0.6442109482534331,0.21987733412546265,0.15731492469256575,
7,Standard TabPFN v2,33,12,21,18,3,6,6,0.5,0.7272727272727273,0.6666666666666666,0.5,0.8571428571428571,0.6785714285714286,0.75,9,0.2727272727272727,1.5,0.5714285714285714,0.5263157894736842,0.746031746031746,0.6198298229548229,0.19767410283824985,0.15851215656959647,
7,B-TabPFN nested K,33,12,21,14,7,5,7,0.5,0.6363636363636364,0.5,0.5833333333333334,0.6666666666666666,0.625,0.7368421052631579,14,0.42424242424242425,2.0,0.5384615384615384,0.5645161290322581,0.7142857142857143,0.5714880952380952,0.22127076339604185,0.2134683385039821,5.0
7,B-TabPFN K=1 sensitivity,33,12,21,12,9,4,8,0.5,0.6060606060606061,0.47058823529411764,0.6666666666666666,0.5714285714285714,0.6190476190476191,0.75,17,0.5151515151515151,2.125,0.5517241379310345,0.6153846153846154,0.7321428571428571,0.6072384194752616,0.22418637044711587,0.2041165043007244,
7,B-TabPFN K=5 sensitivity,33,12,21,14,7,5,7,0.5,0.6363636363636364,0.5,0.5833333333333334,0.6666666666666666,0.625,0.7368421052631579,14,0.42424242424242425,2.0,0.5384615384615384,0.5645161290322581,0.7142857142857143,0.5714880952380952,0.22127076339604185,0.2134683385039821,
7,B-TabPFN K=10 sensitivity,33,12,21,15,6,5,7,0.5,0.6666666666666666,0.5384615384615384,0.5833333333333334,0.7142857142857143,0.6488095238095238,0.75,13,0.3939393939393939,1.8571428571428572,0.56,0.5737704918032787,0.7142857142857143,0.584484126984127,0.22062927739527682,0.20511542215491785,
7,B-TabPFN K=15 sensitivity,33,12,21,14,7,4,8,0.5,0.6666666666666666,0.5333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7777777777777778,15,0.45454545454545453,1.875,0.5925925925925926,0.6349206349206349,0.7301587301587302,0.5929852648863538,0.2195513543960847,0.20568092077067401,
7,B-TabPFN K=20 sensitivity,33,12,21,14,7,4,8,0.5,0.6666666666666666,0.5333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7777777777777778,15,0.45454545454545453,1.875,0.5925925925925926,0.6349206349206349,0.7341269841269842,0.5954362452785107,0.21962753036981578,0.2049908218058673,
8,Logistic Regression,33,12,21,15,6,2,10,0.5,0.7575757575757576,0.625,0.8333333333333334,0.7142857142857143,0.7738095238095238,0.8823529411764706,16,0.48484848484848486,1.6,0.7142857142857143,0.78125,0.746031746031746,0.5782932617491441,0.2083390048950915,0.23056815172802891,
8,Random Forest,33,12,21,16,5,2,10,0.5,0.7878787878787878,0.6666666666666666,0.8333333333333334,0.7619047619047619,0.7976190476190477,0.8888888888888888,15,0.45454545454545453,1.5,0.7407407407407407,0.7936507936507936,0.7976190476190476,0.6825674597733421,0.1810730444325707,0.14552113859429194,
8,Gaussian Naive Bayes,33,12,21,2,19,0,12,0.5,0.42424242424242425,0.3870967741935484,1.0,0.09523809523809523,0.5476190476190477,1.0,31,0.9393939393939394,2.5833333333333335,0.5581395348837209,0.759493670886076,0.861111111111111,0.826382413882414,0.5168695740906852,0.5470445100967223,
8,KNN,33,12,21,19,2,5,7,0.5,0.7878787878787878,0.7777777777777778,0.5833333333333334,0.9047619047619048,0.7440476190476191,0.7916666666666666,9,0.2727272727272727,1.2857142857142858,0.6666666666666666,0.6140350877192983,0.8234126984126984,0.8126580364080364,0.15289469050721077,0.105780814838796,
8,XGBoost,33,12,21,18,3,3,9,0.5,0.8181818181818182,0.75,0.75,0.8571428571428571,0.8035714285714286,0.8571428571428571,12,0.36363636363636365,1.3333333333333333,0.75,0.75,0.8214285714285714,0.7762666022746668,0.17143174688215443,0.17678975359056937,
