outer_fold,inner_fold,K,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10
2,2,10,61,23,38,27,11,7,16,0.5,0.7049180328,0.5925925926,0.6956521739,0.7105263158,0.7030892449,0.7941176471,27,0.4426229508,1.6875,0.64,0.6722689076,0.7608695652,0.6692187488,0.1961707946,0.1518202236
2,2,15,61,23,38,28,10,8,15,0.5,0.7049180328,0.6,0.652173913,0.7368421053,0.6945080092,0.7777777778,25,0.4098360656,1.6666666667,0.625,0.641025641,0.7597254005,0.6636439389,0.1958002631,0.1665608011
2,2,20,61,23,38,27,11,8,15,0.5,0.6885245902,0.5769230769,0.652173913,0.7105263158,0.6813501144,0.7714285714,26,0.4262295082,1.7333333333,0.612244898,0.6355932203,0.7643020595,0.665656357,0.1963004213,0.1681980627
2,3,1,60,22,38,22,16,5,17,0.5,0.65,0.5151515152,0.7727272727,0.5789473684,0.6758373206,0.8148148148,33,0.55,1.9411764706,0.6181818182,0.7024793388,0.7344497608,0.6706343933,0.2109027715,0.2128669925
2,3,5,60,22,38,21,17,6,16,0.5,0.6166666667,0.4848484848,0.7272727273,0.5526315789,0.6399521531,0.7777777778,33,0.55,2.0625,0.5818181818,0.6611570248,0.75,0.6712829504,0.2101551363,0.2096375143
2,3,10,60,22,38,21,17,5,17,0.5,0.6333333333,0.5,0.7727272727,0.5526315789,0.6626794258,0.8076923077,34,0.5666666667,2.0,0.6071428571,0.6967213115,0.7583732057,0.687244053,0.2075887712,0.2096704605
2,3,15,60,22,38,22,16,5,17,0.5,0.65,0.5151515152,0.7727272727,0.5789473684,0.6758373206,0.8148148148,33,0.55,1.9411764706,0.6181818182,0.7024793388,0.7583732057,0.6910227163,0.2095719159,0.1754013573
2,3,20,60,22,38,21,17,5,17,0.5,0.6333333333,0.5,0.7727272727,0.5526315789,0.6626794258,0.8076923077,34,0.5666666667,2.0,0.6071428571,0.6967213115,0.7559808612,0.6892911146,0.209129491,0.1868386117
2,4,1,60,23,37,26,11,2,21,0.5,0.7833333333,0.65625,0.9130434783,0.7027027027,0.8078730905,0.9285714286,32,0.5333333333,1.5238095238,0.7636363636,0.8467741935,0.8531139835,0.773257169,0.1767002278,0.163431899
2,4,5,60,23,37,29,8,3,20,0.5,0.8166666667,0.7142857143,0.8695652174,0.7837837838,0.8266745006,0.90625,28,0.4666666667,1.4,0.7843137255,0.8333333333,0.8730904818,0.8142415544,0.1644523937,0.1737626111
2,4,10,60,23,37,29,8,3,20,0.5,0.8166666667,0.7142857143,0.8695652174,0.7837837838,0.8266745006,0.90625,28,0.4666666667,1.4,0.7843137255,0.8333333333,0.8683901293,0.8047967962,0.164140865,0.1715236257
2,4,15,60,23,37,28,9,3,20,0.5,0.8,0.6896551724,0.8695652174,0.7567567568,0.8131609871,0.9032258065,29,0.4833333333,1.45,0.7692307692,0.826446281,0.8707403055,0.8073376112,0.1643609465,0.1538154433
2,4,20,60,23,37,28,9,3,20,0.5,0.8,0.6896551724,0.8695652174,0.7567567568,0.8131609871,0.9032258065,29,0.4833333333,1.45,0.7692307692,0.826446281,0.8695652174,0.8061608491,0.1639636931,0.152193402
2,5,1,60,23,37,23,14,10,13,0.5,0.6,0.4814814815,0.5652173913,0.6216216216,0.5934195065,0.696969697,27,0.45,2.0769230769,0.52,0.5462184874,0.6462984724,0.5459445118,0.2459036157,0.1531183044
2,5,5,60,23,37,26,11,11,12,0.5,0.6333333333,0.5217391304,0.5217391304,0.7027027027,0.6122209166,0.7027027027,23,0.3833333333,1.9166666667,0.5217391304,0.5217391304,0.6498237368,0.5307622036,0.2427292212,0.1605643156
2,5,10,60,23,37,26,11,11,12,0.5,0.6333333333,0.5217391304,0.5217391304,0.7027027027,0.6122209166,0.7027027027,23,0.3833333333,1.9166666667,0.5217391304,0.5217391304,0.6545240893,0.5595707066,0.2426362258,0.1555948702
2,5,15,60,23,37,27,10,11,12,0.5,0.65,0.5454545455,0.5217391304,0.7297297297,0.6257344301,0.7105263158,22,0.3666666667,1.8333333333,0.5333333333,0.5263157895,0.6533490012,0.5591688375,0.2412865127,0.1695753239
2,5,20,60,23,37,27,10,12,11,0.5,0.6333333333,0.5238095238,0.4782608696,0.7297297297,0.6039952996,0.6923076923,21,0.35,1.9090909091,0.5,0.4867256637,0.6556991774,0.5620201043,0.2410463278,0.159811459
3,1,1,61,23,38,29,9,8,15,0.5,0.7213114754,0.625,0.652173913,0.7631578947,0.7076659039,0.7837837838,24,0.393442623,1.6,0.6382978723,0.6465517241,0.8318077803,0.7666734855,0.1867727041,0.156709076
3,1,5,61,23,38,29,9,5,18,0.5,0.7704918033,0.6666666667,0.7826086957,0.7631578947,0.7728832952,0.8529411765,27,0.4426229508,1.5,0.72,0.756302521,0.8535469108,0.7948249083,0.1764880714,0.1526092061
3,1,10,61,23,38,29,9,5,18,0.5,0.7704918033,0.6666666667,0.7826086957,0.7631578947,0.7728832952,0.8529411765,27,0.4426229508,1.5,0.72,0.756302521,0.852402746,0.7902576612,0.1749848507,0.1466073633
3,1,15,61,23,38,29,9,5,18,0.5,0.7704918033,0.6666666667,0.7826086957,0.7631578947,0.7728832952,0.8529411765,27,0.4426229508,1.5,0.72,0.756302521,0.8466819222,0.7876520082,0.1769633258,0.1487011905
3,1,20,61,23,38,29,9,6,17,0.5,0.7540983607,0.6538461538,0.7391304348,0.7631578947,0.7511441648,0.8285714286,26,0.4262295082,1.5294117647,0.693877551,0.7203389831,0.8512585812,0.7933632875,0.1764420543,0.1492970493
3,2,1,61,23,38,29,9,7,16,0.5,0.737704918,0.64,0.6956521739,0.7631578947,0.7294050343,0.8055555556,25,0.4098360656,1.5625,0.6666666667,0.6837606838,0.7917620137,0.6637512611,0.1852033866,0.0976939126
3,2,5,61,23,38,30,8,7,16,0.5,0.7540983607,0.6666666667,0.6956521739,0.7894736842,0.7425629291,0.8108108108,24,0.393442623,1.5,0.6808510638,0.6896551724,0.790617849,0.647727644,0.1866535047,0.1234598179
3,2,10,61,23,38,30,8,7,16,0.5,0.7540983607,0.6666666667,0.6956521739,0.7894736842,0.7425629291,0.8108108108,24,0.393442623,1.5,0.6808510638,0.6896551724,0.7974828375,0.6732425296,0.1850029683,0.1403034535
3,2,15,61,23,38,30,8,7,16,0.5,0.7540983607,0.6666666667,0.6956521739,0.7894736842,0.7425629291,0.8108108108,24,0.393442623,1.5,0.6808510638,0.6896551724,0.7929061785,0.661460313,0.1856236849,0.1085756099
3,2,20,61,23,38,30,8,7,16,0.5,0.7540983607,0.6666666667,0.6956521739,0.7894736842,0.7425629291,0.8108108108,24,0.393442623,1.5,0.6808510638,0.6896551724,0.7883295195,0.6537980574,0.1856940303,0.143641242
3,3,1,60,22,38,29,9,7,15,0.5,0.7333333333,0.625,0.6818181818,0.7631578947,0.7224880383,0.8055555556,24,0.4,1.6,0.652173913,0.6696428571,0.7129186603,0.6707388687,0.2063473327,0.1883137979
3,3,5,60,22,38,28,10,8,14,0.5,0.7,0.5833333333,0.6363636364,0.7368421053,0.6866028708,0.7777777778,24,0.4,1.7142857143,0.6086956522,0.625,0.7009569378,0.6645622528,0.207276012,0.1237383157
3,3,10,60,22,38,28,10,8,14,0.5,0.7,0.5833333333,0.6363636364,0.7368421053,0.6866028708,0.7777777778,24,0.4,1.7142857143,0.6086956522,0.625,0.6973684211,0.6596050562,0.211548474,0.1217073313
3,3,15,60,22,38,27,11,8,14,0.5,0.6833333333,0.56,0.6363636364,0.7105263158,0.6734449761,0.7714285714,25,0.4166666667,1.7857142857,0.5957446809,0.6194690265,0.6961722488,0.6577088602,0.2116822074,0.1367759373
3,3,20,60,22,38,27,11,8,14,0.5,0.6833333333,0.56,0.6363636364,0.7105263158,0.6734449761,0.7714285714,25,0.4166666667,1.7857142857,0.5957446809,0.6194690265,0.6949760766,0.6575580799,0.2112946059,0.1374812074
3,4,1,60,23,37,23,14,5,18,0.5,0.6833333333,0.5625,0.7826086957,0.6216216216,0.7021151586,0.8214285714,32,0.5333333333,1.7777777778,0.6545454545,0.7258064516,0.7250293772,0.6307638568,0.2436764415,0.2547630973
3,4,5,60,23,37,21,16,6,17,0.5,0.6333333333,0.5151515152,0.7391304348,0.5675675676,0.6533490012,0.7777777778,33,0.55,1.9411764706,0.6071428571,0.68,0.732079906,0.7049454396,0.2339739648,0.1783309266
3,4,10,60,23,37,22,15,6,17,0.5,0.65,0.53125,0.7391304348,0.5945945946,0.6668625147,0.7857142857,32,0.5333333333,1.8823529412,0.6181818182,0.685483871,0.7332549941,0.6991386804,0.2308593714,0.2005446543
3,4,15,60,23,37,21,16,6,17,0.5,0.6333333333,0.5151515152,0.7391304348,0.5675675676,0.6533490012,0.7777777778,33,0.55,1.9411764706,0.6071428571,0.68,0.7379553467,0.7109281766,0.2317669427,0.1986951629
3,4,20,60,23,37,21,16,6,17,0.5,0.6333333333,0.5151515152,0.7391304348,0.5675675676,0.6533490012,0.7777777778,33,0.55,1.9411764706,0.6071428571,0.68,0.7309048179,0.6868931128,0.2311061074,0.1631630883
3,5,1,60,23,37,31,6,5,18,0.5,0.8166666667,0.75,0.7826086957,0.8378378378,0.8102232667,0.8611111111,24,0.4,1.3333333333,0.7659574468,0.775862069,0.8413631022,0.7233899912,0.1674090189,0.1779013892
3,5,5,60,23,37,32,5,7,16,0.5,0.8,0.7619047619,0.6956521739,0.8648648649,0.7802585194,0.8205128205,21,0.35,1.3125,0.7272727273,0.7079646018,0.8284371328,0.6873817815,0.1695683136,0.1311676371
3,5,10,60,23,37,32,5,7,16,0.5,0.8,0.7619047619,0.6956521739,0.8648648649,0.7802585194,0.8205128205,21,0.35,1.3125,0.7272727273,0.7079646018,0.8260869565,0.6904607695,0.1700030881,0.1340864358
3,5,15,60,23,37,32,5,7,16,0.5,0.8,0.7619047619,0.6956521739,0.8648648649,0.7802585194,0.8205128205,21,0.35,1.3125,0.7272727273,0.7079646018,0.8296122209,0.695364067,0.1703657092,0.1420751058
3,5,20,60,23,37,32,5,7,16,0.5,0.8,0.7619047619,0.6956521739,0.8648648649,0.7802585194,0.8205128205,21,0.35,1.3125,0.7272727273,0.7079646018,0.8260869565,0.6867317727,0.1708757418,0.1412008507
4,1,1,61,23,38,30,8,10,13,0.5,0.7049180328,0.619047619,0.5652173913,0.7894736842,0.6773455378,0.75,21,0.3442622951,1.6153846154,0.5909090909,0.5752212389,0.7528604119,0.617688447,0.1981661358,0.1195239874
4,1,5,61,23,38,31,7,9,14,0.5,0.737704918,0.6666666667,0.6086956522,0.8157894737,0.7122425629,0.775,21,0.3442622951,1.5,0.6363636364,0.6194690265,0.766590389,0.6470120349,0.1911899654,0.0995147123
4,1,10,61,23,38,31,7,8,15,0.5,0.7540983607,0.6818181818,0.652173913,0.8157894737,0.7339816934,0.7948717949,22,0.3606557377,1.4666666667,0.6666666667,0.6578947368,0.7757437071,0.6549586634,0.1884161503,0.1164742283
